KONULAR,2024,2023,2022,2021,2020,2019
Fizik Bilimine Giriş,-,-,-,-,1,-
Madde ve Özellikleri,1,1,1,1,-,1
Kuvvet ve Hareket,1,1,1,1,1,1
İş, Güç ve Enerji,-,-,-,-,-,1
Isı, Sıcaklık ve Genleşme,1,1,1,1,-,1
Elektrostatik,-,-,1,-,-,-
Elektrik Akımı ve Manyetizma,1,2,-,1,1,1
Basınç,-,-,1,1,1,-
Kaldırma Kuvveti,1,-,-,-,1,-
Dalgalar,1,-,1,1,1,-
Optik,1,2,1,1,1,2
Toplam Soru Sayısı,7,7,7,7,7,7
