KONULAR,2024,2023,2022,2021,2020,2019
Açılar ve Üçgenler,5,5,4,4,2,2
Çokgenler,1,1,1,1,1,1
Yamuk,1,1,-,-,2,-
Eşkenar Dörtgen,-,-,1,-,-,-
Deltoid,-,-,1,-,-,-
Kare,-,-,-,-,1,1
Dikdörtgen,1,1,1,1,2,1
Çember ve Daire,-,-,-,-,-,2
Analitik Geometri,-,-,1,1,-,1
Katı Cisimler (Uzay Geometrisi),2,2,2,2,2,2
Toplam Soru Sayısı,10,10,10,10,10,10
